business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ","1616 Chapala St, Ste 2",Santa Barbara,CA,93101,34.4266787,-119.7111968,5,7,0,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists"
noByYNtDLQAra9ccqxdfDw,H&M,827-833 State St,Santa Barbara,CA,93101,34.42020893,-119.7004597,3,24,1,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion"
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,34.4144445,-119.6906718,4,389,1,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries"
nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,825 Cacique St,Santa Barbara,CA,93103,34.4196198,-119.6770319,4.5,32,1,"Towing, Automotive, Body Shops"
bYjnX_J1bHZob10DoSFkqQ,Tinkle Belle Diaper Service,,Santa Barbara,California,93101,34.420334,-119.7107494,5,17,1,"Parenting Classes, Maternity Wear, Fashion, Education, Specialty Schools, Local Services, Home Services, Laundry Services, Child Care & Day Care, Shopping, Baby Gear & Furniture"
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4,2404,1,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife"
QZU7TcrztBb3tXaPbVCkXg,805 Ink,1228 State St,Santa Barbara,CA,93101,34.4241297,-119.7053211,4.5,0.68,1,"Beauty & Spas, Tattoo"
25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,1 Garden St,Santa Barbara,CA,93105,34.41434201,-119.6873325,4.5,48,1,"Motorcycle Rental, Tours, Hiking, Mountain Biking, ATV Rentals/Tours, RV Rental, Hotels & Travel, Arts & Entertainment, Active Life"
xF9r1XbMvEOsJeHlmFhIvw,Weddings in Santa Barbara,263 Santa Monica Way,Santa Barbara,CA,93109,34.3982982,-119.725931,5,13,1,"Professional Services, Officiants, Event Planning & Services, Wedding Planning"
4xhGQGdGqU60BIznBjqnuA,California Tacos and Taproom,956 Embarcadero Del Norte,Isla Vista,CA,93117,34.4115552,-119.8550772,4,49,0,"Mexican, Beer Bar, Bars, Sports Bars, Nightlife, Restaurants, Tacos"
